Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
353,3.807933023489394,339.55799642708246,13.44200357291756,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
361,7.772001029286434,332.94307628427595,28.05692371572403,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
369,11.736069035083474,325.69390526054195,43.30609473945802,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
377,15.700137040880513,317.8104833558805,59.18951664411953,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
385,19.664205046677555,309.2928105702914,75.70718942970859,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
393,23.628273052474594,300.14088690377486,92.85911309622516,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
401,24.697345353203517,301.9636451336539,99.0363548663461,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
409,24.697345353203517,307.98785750539764,101.01214249460237,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
417,24.697345353203517,314.01206987714136,102.98793012285867,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
425,24.697345353203517,320.0362822488851,104.96371775111494,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
433,24.697345353203517,326.0604946206288,106.93950537937123,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
441,24.697345353203517,332.0847069923725,108.91529300762751,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
449,24.697345353203517,338.1089193641162,110.8910806358838,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
458,24.697345353203517,344.8861582823279,113.11384171767212,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
466,24.697345353203517,350.91037065407164,115.08962934592839,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
474,24.697345353203517,356.93458302581536,117.06541697418466,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
482,24.697345353203517,362.9587953975591,119.04120460244096,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
490,24.697345353203517,368.9830077693028,121.01699223069723,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
498,24.697345353203517,375.0072201410465,122.99277985895351,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
506,24.697345353203517,381.0314325127902,124.9685674872098,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
514,24.697345353203517,387.05564488453393,126.94435511546608,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
522,24.697345353203517,393.07985725627765,128.92014274372235,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
530,24.697345353203517,399.10406962802136,130.89593037197864,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
538,24.697345353203517,405.1282819997651,132.87171800023492,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
546,24.697345353203517,411.1524943715088,134.8475056284912,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
